005-1362|VAH41585 GREEN 1LB BULK DRUM|ITM01276|VAH41585 GREEN 1LB BULK
005-1370|VAH31882 Blue 1LB BULK|ITM01284|VAH31882 Blue 1LB BULK
005-1406|VAH41615 TEAL 1LB BULK|ITM01320|VAH41615 TEAL 1LB BULK
006-0000|6 GAL BLUE TH PAIL|ITM01472|6 GAL BLUE TH PAIL 1E BULK
006-0001|70 MM CAP SC-76  6TPI|ITM01473|70 MM CAP SC-76  6TPI 1E BULK
006-0003|7 GAL BLUE TH PAIL|ITM01475|7 GAL BLUE TH PAIL 1E BULK
006-0004|70 MM NATURAL SC 3/4 OPEN|ITM01476|70 MM NATURAL SC 3/4 OPEN 1E BULK
006-0005|5 GALLON WHITE OH PLASTIC PAIL Y1.5/30|ITM01477|5 GALLON WHITE OH PLASTIC PAIL 1E BULK
006-0006|6 GAL WHITE PLASTIC COVER|ITM01478|6 GAL WHITE PLASTIC COVER 1E BULK
010-0003|SUDAFAST YLW 125  YLW74 20KG|ITM01528|SUDAFAST YELLOW 125 20KG BG
010-0033|SUDAFAST GRN 2727 GRN7 20KG|ITM01558|SUDAFAST GREEN 2727 20KG BG
010-0042|SUDAPERM YLW 2903 YLW151 20KG|ITM01567|SUDAPERM YELLOW 2903 20KG BG
010-0046|SUDAPERM ORG 2916 ORG36 20KG|ITM01571|SUDAPERM ORANGE 2916 20KG BG
010-0119|SUDAFAST YLW 136 YLW83 20 KG BAG|ITM01644|SUDAFAST YELLOW 136 20KG BG
010-9009|SUMICA SUPER FLASH 4153 25KG / SINERGY|ITM01507|SUMICA SUPER FLASH 4153 25KG DR
012-0000|55 GAL UNLINED BLACK/WHITE DR|ITM01670|55 GAL UNLINED BLACK/WHITE DR 1E DR
012-0001|55 GAL LINED STEEL RED DR|ITM01671|55 GAL LINED STEEL RED DR 1E DR
012-0002|55 GAL UNLINED STEEL RED DR|ITM01672|55 GAL UNLINED STEEL RED DR 1E DR
012-0003|55 GAL LINED STEEL GREEN DR|ITM01673|55 GAL LINED STEEL GREEN DR 1E DR
012-0004|55 GAL LINED STEEL BLUE DRUM|ITM15438|55 GAL 1E DR
017-0002|PHOTOMER 81 440 LB DR|ITM01745|PHOTOMER 81 440LB DR
017-0008|PHOTOMER 4006 480 LB DR|ITM01751|PHOTOMER 4006 480LB DR
017-0021|PHOTOMER 4061 450 LB DR|ITM01764|PHOTOMER 4061 450LB DR
017-0124|PHOTOMER 5010F 180KG DR|ITM01801|PHOTOMER 5010F 180KG DR
017-9002|PHOTOMER 4006 2400LB TOTE / BOND DISTRIBUTING|ITM01809|PHOTOMER 4006 2400LB TOTE
017-9006|PHOTOMER 4006 441LB DR / BOND DISTRIBUTING|ITM01813|PHOTOMER 4006 441LB DR
021-0001|CERIDUST 3620 44LB BAG|ITM01815|CERIDUST 3620 44LB BG
021-0002|CERIDUST 3715 44LB BAG|ITM01816|CERIDUST 3715 44LB BG
021-0003|CERIDUST 3910 33LB CARTON|ITM01817|CERIDUST 3910 33LB CTN
021-0006|CERIDUST 5091 44LB BAG|ITM01820|CERIDUST 5091 44LB BG
021-0007|CERIDUST 5551 44LB BAG|ITM01821|CERIDUST 5551 44LB BG
021-0008|CERIDUST 6050M 33LB BAG|ITM01822|CERIDUST 6050 M 33LB BG
021-0012|CERIDUST 9610F 44LB BAG|ITM01826|CERIDUST 9610 F 44LB BG
021-0013|CERIDUST 9615A 44LB BAG|ITM01827|CERIDUST 9615 A 44LB BG
021-0015|EXOLIT AP 422 55LB BAG|ITM01829|EXOLIT AP 422 55LB BG
021-0021|EXOLIT AP 760 44LB BAG|ITM01835|EXOLIT AP 760 44LB BG
021-0027|EXOLIT OP 1314 44LB BAG|ITM01841|EXOLIT OP 1314 44LB BG
021-0030|EXOLIT OP 930 55LB CARTON|ITM01844|EXOLIT OP 930 55LB CTN
021-0031|EXOLIT OP 935 55LB CARTON|ITM01845|EXOLIT OP 935 55LB CTN
021-0036|EXOLIT RP 6520 440LB DRUM|ITM01850|EXOLIT RP 6520 440LB DR
021-0040|HOSTANOX P EPQ PDR 55LB BAG|ITM01854|HOSTANOX P EPQ POWDER 55LB BG
021-0045|HOSTASTAT FA 38 MICRO PILLS 55LB CARTON|ITM01859|HOSTASTAT FA 38 MICRO PILLS 55LB CTN
021-0047|HOSTASTAT FE 20 LIQ 396LB DRUM|ITM01861|HOSTASTAT FE 20 LIQ 396LB DR
021-0048|HOSTASTAT HS 1 FF 44LB BAG|ITM01862|HOSTASTAT HS 1 FF 44LB BG
021-0049|HOSTASTAT HS 1 PILLS 55LB BAG|ITM01863|HOSTASTAT HS 1 PILLS 55LB BG
021-0050|HOSTAVIN 3041 DISP 110LB DRUM|ITM01864|HOSTAVIN 3041 DISP 110LB DR
021-0055|HOSTAVIN 3058 LIQ 110LB DR|ITM01869|HOSTAVIN 3058 LIQ 110LB DR
021-0058|HOSTAVIN 3206 LIQ 55LB DRUM|ITM01872|HOSTAVIN 3206 LIQ 55LB DR
021-0061|HOSTAVIN 3310 P 55LB CARTON|ITM01875|HOSTAVIN 3310 P 55LB CTN
021-0065|HOSTAVIN N 24 LIQ 110LB DRUM|ITM01879|HOSTAVIN N 24 LIQ 110LB DR
021-0068|HOSTAVIN N321 55LB BAG|ITM01882|HOSTAVIN N321 55LB BG
021-0087|LICOCENE PP 6102 GRAN 33LB TUBE|ITM01901|LICOCENE PP 6102 GRAN 33LB TUBE
021-0092|LICOLUB CE 2 GR 44LB BAG|ITM01906|LICOLUB CE 2 GR 44LB BG
021-0094|LICOLUB H12 FINE GRAIN 44LB BAG|ITM01908|LICOLUB H12 FINE GRAIN 44LB BG
021-0095|LICOLUB WE 40 PDR 44LB BAG|ITM01909|LICOLUB WE 40 POWDER 44LB BG
021-0096|LICOLUB WE4 PDR 44LB BAG|ITM01910|LICOLUB WE4 POWDER 44LB BG
021-0102|LICOWAX C MICROPOWDER PM 44LB BAG|ITM01916|LICOWAX C MICROPOWDER PM 44LB BG
021-0103|LICOWAX C PDR 55LB BAG|ITM01917|LICOWAX C POWDER 55LB BG
021-0104|LICOWAX E FLAKE 44LB BAG|ITM01918|LICOWAX E FLAKE 44LB BG
021-0105|LICOWAX E PDR 44LB BAG|ITM01919|LICOWAX E POWDER 44LB BG
021-0106|LICOWAX LP FLAKE 44LB BAG|ITM01920|LICOWAX LP FLAKE 44LB BG
021-0108|LICOWAX OP FLAKE 44LB BAG|ITM01922|LICOWAX OP FLAKE 44LB BG
021-0109|LICOWAX OP PDR 44LB BAG|ITM01923|LICOWAX OP POWDER 44LB BG
021-0110|LICOWAX PE 130 GRAN 55LB BAG|ITM01924|LICOWAX PE 130 GRAN 55LB BG
021-0111|LICOWAX PE 130 PDR 44LB TUBE|ITM01925|LICOWAX PE 130 POWDER 44LB TUBE
021-0112|LICOWAX PE 190 PDR 33LB BAG|ITM01926|LICOWAX PE 190 POWDER 33LB BG
021-0115|LICOWAX PE 520 GRAN 55LB BAG|ITM01929|LICOWAX PE 520 GRAN 55LB BG
021-0116|LICOWAX PE 520 PDR 55LB BAG|ITM01930|LICOWAX PE 520 POWDER 55LB BG
021-0120|LICOWAX PED 191 PDR 44LB BAG|ITM01934|LICOWAX PED 191 POWDER 44LB BG
021-0123|LICOWAX PED 521 GRAN 44LB BAG|ITM01937|LICOWAX PED 521 GRAN 44LB BG
021-0124|LICOWAX R21 44LB BAG|ITM01938|LICOWAX R21 44LB BG
021-0125|LICOWAX S FLAKE 44LB BAG|ITM01939|LICOWAX S FLAKE 44LB BG
021-0128|HOSTASTAT HS 1 PILLS 44LB BAG|ITM01942|HOSTASTAT HS 1 PILLS 44LB BG
021-0200|HOSTANOX P EPQ PDR 44LB BAG|ITM01951|HOSTANOX P EPQ POWDER 44LB BG
021-0202|HOSTAVIN 3058 LIQ 441 LB DR|ITM01953|HOSTAVIN 3058 LIQ 441LB DR
021-9001|LICOWAX PE 130 PDR 44LB TUBE RAVEN INDUSTRIES|ITM01964|LICOWAX PE 130 POWDER 44LB TUBE
021-9004|EXOLIT OP 935 55LB CARTON ALLISON GROUP|ITM01967|EXOLIT OP 935 55LB CTN
021-9006|HOSTANOX P EPQ PDR 44LB BAG SIKA|ITM01969|HOSTANOX P EPQ POWDER 44LB BG
024-0001|TYLOSE H 15000 YP2 25KG BAG|ITM01971|TYLOSE H 15000 YP2 25KG BG
024-0003|TYLOSE H 300 P2 25KG BAG|ITM01973|TYLOSE H 300 P2 25KG BG
024-0013|TYLOSE HS 30000 YP2 25KG BAG|ITM01983|TYLOSE HS 30000 YP2 25KG BG
024-0016|TYLOSE HS 6000 YP2 25KG BAG|ITM01986|TYLOSE HS 6000 YP2 25KG BG
024-0019|TYLOSE MH 10000 KG4 20KG BAG|ITM01989|TYLOSE MH 10000 KG4 20KG BG
024-0024|TYLOSE MH 6000 YP4 20KG BAG|ITM01994|TYLOSE MH 6000 YP4 20KG BG
024-0029|TYLOSE MOT 60000 YP4 25KG BAG|ITM01999|TYLOSE MOT 60000 YP4 25KG BG
024-0034|TYLOSE MH 6002 P4 20KG BAG 40/PLT|ITM02004|TYLOSE MH 6002 P4 20KG BG
024-0036|TYLOSE H 100000 YP2 25KG BAG|ITM02006|TYLOSE H 100000 YP2 25KG BG
024-0048|TYLOSE H10 YG4 25KG BAG|ITM02018|TYLOSE H10 YG4 25KG BG
025-0010|SHARKDISPERSION MW 485LB DRUM|ITM02033|SHARKDISPERSION MW 485LB DR
025-9000|SHARKPELLETS C3C 1000KG SUPERSACK / SOUNDWICH|ITM02049|SHARKPELLETS C3C 1000KG SS
025-9001|SHARKPELLETS C3C  25 LB PAIL|ITM02050|SHARKPELLETS C3C 25LB PL
025-9002|SHARKPELLETS C3C 1800LB SUPERSACK / SOUNDWICH|ITM02051|SHARKPELLETS C3C 1800LB SS
026-0000|INDOPOL H-100  397LB  OT DRUM|ITM02105|INDOPOL H-100 397LB DR
026-0001|INDOPOL H-300  397LB  OT DRUM|ITM02106|INDOPOL H-300 397LB DR
026-0003|INDOPOL H-100  397LB  TL DRUM|ITM02107|INDOPOL H-100 397LB DR
026-0004|INDOPOL H-300  397LB  TL DRUM|ITM02108|INDOPOL H-300 397LB DR
026-0005|INDOPOL H-1500  397LB  OT DRUM|ITM02109|INDOPOL H-1500 397LB DR
026-0006|INDOPOL H-1900  397LB  OT DRUM|ITM02110|INDOPOL H-1900 397LB DR
026-0008|INDOPOL H-15  397LB  TL DRUM|ITM02112|INDOPOL H-15 397LB DR
026-0009|INDOPOL H-8 397LB  TL DRUM|ITM02113|INDOPOL H-8 397LB DR
026-0010|INDOPOL H-25 397LB  TL DRUM|ITM02114|INDOPOL H-25 397LB DR
026-0011|INDOPOL H-50 397LB  TL DRUM|ITM02115|INDOPOL H-50 397LB DR
026-0012|INDOPOL L-14 397LB  TL DRUM|ITM02116|INDOPOL L-14 397LB DR
026-0013|INDOPOL H-18000 397LB  OTCE DRUM|ITM02117|INDOPOL H-18000 397LB DR
026-0014|INDOPOL H-6000 397LB  OTCE DRUM|ITM02118|INDOPOL H-6000 397LB DR
026-0015|INDOPOL L-14 377LB  TL DRUM|ITM02119|INDOPOL L-14 377LB DR
026-0016|INDOPOL H-2100  397LB  OT DRUM|ITM02120|INDOPOL H-2100 397LB DR
026-8000|INDOPOL H-1900  385LB  OT DRUM US MATERIAL|ITM02127|INDOPOL H-1900 385LB DR
026-8001|INDOPOL H-300  388LB  OT DRUM|ITM02128|INDOPOL H-300 388LB DR
026-8002|INDOPOL H-100  385LB  OT DRUM|ITM02129|INDOPOL H-100 385LB DR
026-8003|INDOPOL H-25 386LB  TL DRUM|ITM02130|INDOPOL H-25 386LB DR
026-8004|INDOPOL H-15  385LB  TL DRUM|ITM02131|INDOPOL H-15 385LB DR
026-8007|INDOPOL H300 2400 LB TOTE/CONCRETE SEALANTS|ITM02134|INDOPOL H-300 2400LB TOTE
026-8008|INDOPOL H-300  388LB  TL DRUM|ITM15311|INDOPOL H-300 388LB DR
027-0004|CPAR 70  55.115 LB BG|ITM02140|CPAR 70 55.115LB BG
027-8000|CPAR W-40  500 LB DR|ITM02143|CPAR W-40 500LB DR
027-8002|CPAR W-50  525 LB DR|ITM02145|CPAR W-40AO 525LB DR
027-8004|CPAR W-40AO  500 LB DR|ITM02147|CPAR W-40AO 500LB DR
027-8006|CPAR W-50AO  525 LB DR|ITM02149|CPAR W-50AO 525LB DR
027-9000|CPAR W-40  500 LB DR|ITM02151|CPAR W-40 500LB DR
027-9002|CPAR W-50 BULK OFF SPEC|ITM02153|CPAR W-50 1LB BULK
027-9003|CPAR W-50  525 LB DR OFF SPEC|ITM02154|CPAR W-50 525LB DR
034-0013|DSX 1550 450 LB DRUM|ITM02224|DSX 1550 450LB DR
034-0017|FOAMASTER AP 410 LB DR|ITM02226|FOAMASTER AP 410LB DR
034-0022|FOAMASTER S 400 LB DR|ITM02228|FOAMASTER S 400LB DR
034-0027|FOAMASTER VL 400 LB DR|ITM02232|FOAMASTER VL 400LB DR
034-0044|FOAMASTER NXZ 400 LB DR|ITM02241|FOAMASTER NXZ 400LB DR
034-0048|HYDROPALAT 44 500 LB DR|ITM02244|HYDROPALAT 44 500LB DR
034-0073|FOAMASTER 111 400 LB DR|ITM02252|FOAMASTER 111 400LB DR
034-0093|FOAMASTER S 1900 LB TOTE|ITM02260|FOAMASTER S 1900LB TOTE
034-0196|FOAMSTAR A10 375 LB DR|ITM02308|FOAMSTAR A10 375LB DR
034-0204|VERSAMINE EH30  425 LB DR|ITM02314|VERSAMINE EH30 425LB DR
034-0212|GENAMID 2000 430 LB DR|ITM02321|GENAMID 2000 430LB DR
034-0220|VERSAMID 125 420 LB DR|ITM02327|VERSAMID 125 420LB DR
034-0221|VERSAMID 140 420 LB DR|ITM02328|VERSAMID 140 420LB DR
034-0257|DEHYDRAN 1620 410 LB DR|ITM02353|DEHYDRAN 1620 410LB DR
034-0267|HYDROPALAT 44 2500 LB TOTE|ITM02363|HYDROPALAT 44 2500LB TOTE
034-0272|VERSAMINE A56 440 LB DR|ITM02368|VERSAMINE A56 440LB DR
034-0275|VERSAMINE M1 440 LB DR|ITM02371|VERSAMINE M1 440LB DR
034-0325|EMPOL 1028  410 LB DR|ITM02418|EMPOL 1028 410LB DR
034-0545|DEHYDRAN 1620 2000LB TOTE|ITM02632|DEHYDRAN 1620 2000LB TOTE
034-0556|EMPOL 1043  410 LB DR|ITM02642|EMPOL 1043 410LB DR
034-0567|EMPOL 1008  410 LB DR|ITM02652|EMPOL 1008 410LB DR
034-0586|CAPCURE 3-800  507 LB DR|ITM02061|CAPCURE 3-800 507LB DR
034-0610|VERSAMID 100IT60 400 LB DR|ITM02677|VERSAMID 100IT60 400LB DR
034-0632|TEXAPHOR SPECIAL 441 LB DR|ITM02695|TEXAPHOR SPECIAL 441LB DR
034-0641|HYDROPALAT 875 440 LB DR|ITM02704|HYDROPALAT 875 440LB DR
034-0821|DISPONIL A3065 450 LB DR|ITM02825|DISPONIL A 3065 450LB DR
034-0888|DSX 3121 450LB DR|ITM02884|DSX 3121 450LB DR
034-0893|BISOMER HEMA 447.53 LB DR|ITM02889|BISOMER HEMA 447.53LB DR
034-0895|BISOMER HPMA 447.53 LB DR|ITM02891|BISOMER HPMA 447.53LB DR
034-0920|HYDROPALAT 100 2204.6 LB TOTE|ITM02916|HYDROPALAT 100 2204.6LB TOTE
034-0927|VERSAMID 335 44LB BG 40/P|ITM02922|VERSAMID 335 44LB BG
034-1181|DISPONIL A3065 440 LB DR|ITM03120|DISPONIL A 3065 440LB DR
043-0000|KRONOS 1000 50 LB BG 40/PLT|ITM03179|KRONOS 1000 50LB BG
043-0007|KRONOS 2073 50 LB BG 50/PLT|ITM03182|KRONOS 2073 50LB BG
043-0012|KRONOS 2101 50 LB BG 50/PLT|ITM03184|KRONOS 2101 50LB BG
043-0014|KRONOS 2044 50 LB BG 40 PLT|ITM03186|KRONOS 2044 50LB BG
043-0020|KRONOS 2220 50 LB BG|ITM03189|KRONOS 2220 50LB BG
043-0022|KRONOS 2310 50 LB BG 50/PLT|ITM03190|KRONOS 2310 50LB BG
043-0027|KRONOS 1001 55 LB BG|ITM03192|KRONOS 1001 55LB BG
043-0028|KRONOS 2230 55 LB BG 40BG/PLT|ITM03193|KRONOS 2230 55LB BG
043-0043|KRONOS 1074 55 LB BG|ITM03201|KRONOS 1074 55LB BG
043-0048|KRONOS 2220 55 LB BG|ITM03205|KRONOS 2220 55LB BG
043-0056|KRONOS 2233  55 LB BG|ITM03212|KRONOS 2233 55LB BG
043-0057|KRONOS 2211 55 LB BG|ITM03213|KRONOS 2211 55LB BG
043-0060|KRONOS 2160 2000 LB SUPERSACK|ITM03216|KRONOS 2160 2000LB SS
043-0062|KRONOS 2063  50 LB BAG|ITM03218|KRONOS 2063 50LB BG
043-0064|KRONOS 3025 55 LB BG 40 B/P|ITM03220|KRONOS 3025 55LB BG
043-0065|KRONOS 2071U 50 LB BAG 50/PLT|ITM03221|KRONOS 2071U 50LB BG
043-0066|KRONOS 1071  55 LB BAG|ITM03222|KRONOS 1071 55LB BG
043-0068|KRONOS 2450 50 LB BG 50/PAL|ITM03224|KRONOS 2450 50LB BG
043-0077|KRONOS 2073 2205 LB SS|ITM03233|KRONOS 2073 2205LB SS
043-0081|KRONOS 2300 50 LB BG 50/PLT|ITM03237|KRONOS 2300 50LB BG
043-0084|KRONOS 1000 55 LB BG 40/PLT|ITM03240|KRONOS 1000 55LB BG
043-0085|KRONOS 2044 55 LB BG 40 PLT|ITM03241|KRONOS 2044 55LB BG
043-0091|KRONOS 2073 55 LB BG 40/PLT|ITM03247|KRONOS 2073 55LB BG
043-0093|KRONOS 2078 55LB BAG 40/PLT|ITM03249|KRONOS 2078 55LB BG
043-0095|KRONOS 2101 55 LB BG 40/PLT|ITM03251|KRONOS 2101 55LB BG
043-0097|KRONOS 2160 55LB BG 40/PAL|ITM03253|KRONOS 2160 55LB BG
043-0098|KRONOS 2300 55 LB BG 40/PLT|ITM03254|KRONOS 2300 55LB BG
043-0102|KRONOS 2310 55 LB BG 40/PLT|ITM03258|KRONOS 2310 55LB BG
043-0107|KRONOS 2044 44 LB BG 45 PLT|ITM03263|KRONOS 2044 44LB BG
043-9001|KRONOS 1000 50 LB BG 40/PLT / ROPPE|ITM03267|KRONOS 1000 50LB BG
043-9002|KRONOS 2073 55 LB BG 40/PLT / ROPPE|ITM03268|KRONOS 2073 55LB BG
068-0007|POLIDENE 37-0065 600 LB DR|ITM02981|POLIDENE 37-0065 600LB DR
068-0008|POLIDENE 33-075 495 LB DR|ITM02982|POLIDENE 33-075 495LB DR
068-0039|TEXIPOL 63-508 441 LB DR|ITM02985|TEXIPOL 63-508 441LB DR
068-0040|TEXIPOL 63-510 441 LB DR|ITM02986|TEXIPOL 63-510 441LB DR
068-0062|TEXICRYL 13-034 460 LB DR|ITM03303|TEXICRYL 13-034 460LB DR
068-0065|TEXICRYL 17-0328 460 LB DR|ITM03305|TEXICRYL 17-0328 460LB DR
068-0069|TEXICRYL 13-061 460 LB DR|ITM03309|TEXICRYL 13-061 460LB DR
068-0075|POLIDENE 37-0065 2700 LB TOTE|ITM03315|POLIDENE 37-0065 2700LB TOTE
068-0079|TEXICRYL 17-0330 2200 LB TOTE|ITM03319|TEXICRYL 17-0330 2200LB TOTE
068-0082|TEXICRYL 13-034 2200LB TOTE|ITM03322|TEXICRYL 13-034 2200LB TOTE
068-0088|TEXICRYL 17-0376 460LB DR|ITM03328|TEXICRYL 17-0376 460LB DR
068-0099|TEXICRYL AD9122 2200LB TOTE|ITM03338|TEXICRYL AD9122 2200LB TOTE
068-0109|TEXIPOL 63-201  441 LB DRUM|ITM03348|TEXIPOL 63-201 441LB DR
068-0112|TEXIPOL 63-202  441 LB DRUM|ITM03351|TEXIPOL 63-202 441LB DR
068-0114|TEXIPOL 63-258  441 LB DR|ITM03353|TEXIPOL 63-258 441LB DR
068-0115|TEXICRYL 13-061 2200 LB TOTE|ITM03354|TEXICRYL 13-061 2200LB TOTE
068-0116|TEXIPOL 63-253  441 LB DRUM|ITM03355|TEXIPOL 63-253 441LB DR
068-0120|TEXICRYL 13-056  2400 LB TOTE|ITM03359|TEXICRYL 13-056 2400LB TOTE
068-0159|POLIDENE 33-075 BULK|ITM03397|POLIDENE 33-075 1LB BULK
068-0169|POLIDENE 33-082 495 LB DR|ITM03407|POLIDENE 33-082 495LB DR
068-0173|TEXICRYL 13-308 441 LB DR|ITM03411|TEXICRYL 13-308 441LB DR
068-0174|TEXIPOL 63-237 441 LB DR|ITM03412|TEXIPOL 63-237 441LB DR
068-0209|POLIDENE 37-0065 2760 LB TOTE|ITM03447|POLIDENE 37-0065 2760LB TOTE
068-0213|POLIDENE 37-0065 1LB BULK|ITM03451|POLIDENE 37-0065 1LB BULK
068-9004|POLIDENE 33-075 495 LB DR / REPUBLIC POWERED METAL|ITM03457|POLIDENE 33-075 495LB DR
068-9005|TEXICRYL 13-034 2200LB TOTE / LANNING|ITM03458|TEXICRYL 13-034 2200LB TOTE
070-0000|CLAYTONE AF 50LB BG 50/PLT|ITM03471|CLAYTONE AF 50LB BG
070-0001|CLAYTONE 40 50 LB BG40/PLT|ITM03472|CLAYTONE 40 50LB BG
070-0002|CLAYTONE HT 50 LB BG|ITM03473|CLAYTONE HT 50LB BG
070-0006|CLAYTONE HY 40LB BG 30/PAL|ITM03476|CLAYTONE HY 40LB BG
070-0010|CLAYTONE TG 50 LB BG50/PLT|ITM03478|CLAYTONE TG 50LB BG
070-0011|LAPONITE RDS 25KG BAG 40/PLT|ITM03479|LAPONITE RDS 25KG BG
070-0021|GARAMITE 1210 10 KG BG|ITM03483|GARAMITE 1210 10KG BG
070-0022|GARAMITE 1958 10 KG BG|ITM03484|GARAMITE 1958 10KG BG
070-0023|BENTOLITE L-10 50 LB BG|ITM03485|BENTOLITE L10 50LB BG
070-0024|PERMONT SX10A 216 KG DR|ITM03486|PERMONT SX10A 216KG DR
070-0026|BENTOLITE L 50 LB BG/50 PLT|ITM03487|BENTOLITE L 50LB BG
070-0027|GARAMITE LS 25 LB BG 40 BGS/PL|ITM03488|GARAMITE LS 25LB BG
070-0029|LAPONITE RD 25 KG BG 40/PLT|ITM03490|LAPONITE RD 25KG BG
070-0030|PERMONT SC20 228 KG DR|ITM03491|PERMONT SC20 228KG DR
070-0031|CLAYTONE APA 12.5KG BG 30/PLT|ITM03492|CLAYTONE APA 12.5KG BG
070-0032|CLAYTONE 2  50 LB BAG/50 PLT|ITM03493|CLAYTONE 2 50LB BG
070-0033|MINERAL COLLOID BP 25 KG BAG|ITM03494|MINERAL COLLOID BP 25KG BG
070-0034|MINERAL COLLOID MO 25 KG BAG|ITM03495|MINERAL COLLOID MO 25KG BG
070-0037|LAPONITE XLG 25KG BAG 40/PLT|ITM03498|LAPONITE XLG 25KG BG
070-0041|Y-20XP 375 LB DRUM|ITM03502|Y-20 XP 375LB DR
070-0042|Y-25 X  375 LB DRUM|ITM03503|Y-25 X 375LB DR
070-0045|GARAMITE 2578 5 KG BG|ITM03506|GARAMITE 2578 5KG BG
070-0048|TIXOGEL MP 50 LB BAG|ITM03509|TIXOGEL MP 50LB BG
070-0049|TIXOGEL MP-100 50 LB BAG|ITM03510|TIXOGEL MP-100 50LB BG
070-0053|TIXOGEL TE 50 LB BAG|ITM03514|TIXOGEL TE 50LB BG
070-0054|TIXOGEL TP 25 KG BAG|ITM03515|TIXOGEL TP 25KG BG
070-0055|TIXOGEL VP 50 LB BAG|ITM03516|TIXOGEL VP 50LB BG
070-0057|ADVITROL 50 50 LB BAG|ITM03518|ADVITROL 50 50LB BG
